;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Température;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;11.3;11.7;11.3;12.3;12.6;11.5;12.1;11.8;;;;;;;;;;;;;;;;;;
2008;11.5;10.8;11.2;11.9;12.3;11.8;12.3;12.4;;;;;;;;;;;;;;;;;;
2009;13.2;13.1;-;0.0;16.5;13.8;12.4;-;;;;;;;;;;;;;;;;;;
2010;10.0;9.7;10.2;10.5;12.5;8.2;11.4;12.1;;;;;;;;;;;;;;;;;;
2011;-;-;-;-;-;-;-;-;;Remarque : nous avons pris le groupe A de chaque année s'il y en avait 2 différents.;;;;;;;;;;;;;;;;
2012;-;10.0;14.7;13.2;14.6;13.3;13.5;12.7;;;;;;;;;;;;;;;;;;
2013;13.3;13.5;19.7;-;14.6;13.0;13.8;12.1;;-;valeur manquante;;;;;;;;;;;;;;;
2014;13.8;14.0;15.6;14.5;15.3;13.4;14.7;12.6;;;pas de mesure à cette station;;;;;;;;;;;;;;;
2015;10.7;11.6;-;12.6;13.7;10.4;12.2;8.5;;;;;;;;;;;;;;;;;;
2016;14.3;13.4;15.2;14.5;12.4;14.4;13.1;16.0;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Conductivité;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;450;550;530;530;520;460;590;500;;;;;;;;;;;;;;;;;;
2008;463;569;540;554;525;494;532;598;;;;;;;;;;;;;;;;;;
2009;490;606;-;600;593;440;410;760;;;;;;;;;;;;;;;;;;
2010;507;602;602;587;610;410;410;700;;;;;;;;;;;;;;;;;;
2011;500;630;630;-;620;460;450;450;;;;;;;;;;;;;;;;;;
2012;-;558;603;550;552;466;560;421;;;;;;;;;;;;;;;;;;
2013;476;725;626;-;593;491;603;446;;;;;;;;;;;;;;;;;;
2014;450;600;500;520;520;430;540;420;;;;;;;;;;;;;;;;;;
2015;421;430;-;314;284;332;400;341;;;;;;;;;;;;;;;;;;
2016;443;556;576;571;397;582;453;569;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
pH;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;8.58;8.84;8.62;8.60;8.66;8.74;8.57;8.45;;;;;;;;;;;;;;;;;;
2008;8.63;8.56;8.70;8.66;8.61;8.51;8.44;8.45;;;;;;;;;;;;;;;;;;
2009;8.48;8.49;-;8.42;8.60;8.41;8.44;8.21;;;;;;;;;;;;;;;;;;
2010;8.45;8.58;8.58;8.50;8.40;8.23;8.40;8.24;;;;;;;;;;;;;;;;;;
2011;8.38;8.40;8.22;-;8.46;8.28;8.37;8.04;;;;;;;;;;;;;;;;;;
2012;8.30;8.27;8.24;8.40;8.32;7.89;8.34;8.17;;;;;;;;;;;;;;;;;;
2013;8.45;8.41;8.27;-;8.47;8.43;8.45;8.23;;;;;;;;;;;;;;;;;;
2014;8.43;8.30;8.37;8.36;8.42;8.30;8.42;8.31;;;;;;;;;;;;;;;;;;
2015;8.27;8.36;-;8.20;8.10;7.90;8.40;7.60;;;;;;;;;;;;;;;;;;
2016;8.45;8.46;8.45;8.41;8.35;8.29;8.51;8.35;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Oxygène;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;13.10;14.00;14.80;15.20;11.70;11.00;14.50;11.60;;;;;;;;;;;;;;;;;;
2008;6.65;7.12;10.61;10.50;10.50;10.35;10.10;10.35;;;;;;;;;;;;;;;;;;
2009;9.43;6.26;-;7.76;7.68;6.80;6.44;9.12;;;;;;;;;;;;;;;;;;
2010;7.30;7.50;11.20;10.50;10.33;11.20;10.51;-;;;;;;;;;;;;;;;;;;
2011;9.40;9.70;8.71;-;10.92;10.12;9.93;10.54;;;;;;;;;;;;;;;;;;
2012;9.70;9.64;5.90;9.40;9.45;9.33;5.63;8.90;;;;;;;;;;;;;;;;;;
2013;6.20;9.50;9.07;-;10.30;10.30;10.28;10.12;;;;;;;;;;;;;;;;;;
2014;9.20;10.30;6.95;6.07;9.92;10.30;8.20;7.08;;;;;;;;;;;;;;;;;;
2015;10.60;10.36;-;8.30;10.30;7.90;8.26;10.40;;;;;;;;;;;;;;;;;;
2016;-;9.93;9.31;9.76;8.45;10.41;9.57;9.55;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Nitrates;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;3.9;4.5;2.9;4.9;3.8;3.1;5.6;3.6;;;;;;;;;;;;;;;;;;
2008;4;5.3;3.7;4.1;3.3;2;19;3.3;;;;;;;;;;;;;;;;;;
2009;2.9;9.2;-;4.9;5.5;1.6;2;2.7;;;;;;;;;;;;;;;;;;
2010;3.5;7.1;7.4;5.1;5.8;2.8;2.1;2.8;;;;;;;;;;;;;;;;;;
2011;3.8;9.9;3.8;-;4.9;2.6;3.2;2.6;;;;;;;;;;;;;;;;;;
2012;4.2;9;5.1;5.3;4.5;2.3;5.1;1.2;;;;;;;;;;;;;;;;;;
2013;3.99;10.20;4.94;-;7.22;3.76;3.12;2.79;;;;;;;;;;;;;;;;;;
2014;3.18;7.12;3.89;5.74;4.68;2.34;4.83;6.26;;;;;;;;;;;;;;;;;;
2015;2.30;5.71;--;2.64;2.23;1.94;3.22;2.71;;;;;;;;;;;;;;;;;;
2016;4.01;8.27;4.24;5.19;2.06;0.78;2.93;5.18;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Nitrites;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;0.000;0.010;0.010;0.010;0.000;0.010;0.010;0.010;;;;;;;;;;;;;;;;;;
2008;0.020;0.040;0.011;0.016;0.012;0.005;0.007;0.012;;;;;;;;;;;;;;;;;;
2009;0.018;0.072;-;0.010;0.012;0.005;0.001;0.033;;;;;;;;;;;;;;;;;;
2010;0.005;0.019;0.011;0.003;0.031;0.016;0.005;0.009;;;;;;;;;;;;;;;;;;
2011;0.001;0.071;0.003;-;0.031;0.014;0.003;0.014;;;;;;;;;;;;;;;;;;
2012;0.003;0.009;0.071;0.030;0.012;0.011;0.019;0.014;;;;;;;;;;;;;;;;;;
2013;0.006;0.227;0.007;-;0.014;0.021;0.016;0.026;;;;;;;;;;;;;;;;;;
2014;0.013;0.158;0.004;0.080;0.014;0.012;0.009;0.016;;;;;;;;;;;;;;;;;;
2015;0.020;0.038;-;0.051;0.034;0.022;0.015;0.015;;;;;;;;;;;;;;;;;;
2016;0.017;0.017;0.016;0.013;0.020;0.017;0.028;0.020;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Chlorures;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;10.1;12.6;15.1;15.8;14.3;13.2;16.8;17.6;;;;;;;;;;;;;;;;;;
2008;10.5;9.2;11.1;9.5;12.8;15.4;9.2;21.2;;;;;;;;;;;;;;;;;;
2009;13.1;39.0;-;34.0;32.0;19.9;8.8;65.0;;;;;;;;;;;;;;;;;;
2010;15.0;35.0;24.5;23.4;25.0;14.0;13.9;24.5;;;;;;;;;;;;;;;;;;
2011;15.6;46.0;45.5;-;53.0;20.3;20.9;16.4;;;;;;;;;;;;;;;;;;
2012;10.9;23.4;20.8;21.4;18.1;20.4;21.6;22.7;;;;;;;;;;;;;;;;;;
2013;10.3;33.0;23.3;-;26.0;23.1;24.0;15.9;;;;;;;;;;;;;;;;;;
2014;9.6;31.0;-;21.8;13.9;12.6;16.5;13.3;;;;;;;;;;;;;;;;;;
2015;9.6;31.0;-;21.8;13.9;13.3;16.5;12.6;;;;;;;;;;;;;;;;;;
2016;9.9;30.6;20.8;29.2;16.8;28.9;19.2;26.7;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Sulfates;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;23;22;25;36;31;37;28;48;;;;;;;;;;;;;;;;;;
2008;25;51;37;29;36;42;29;56;;;;;;;;;;;;;;;;;;
2009;23;36;-;49;48;50;45;51;;;;;;;;;;;;;;;;;;
2010;22;33;31;40;43;56;45;67;;;;;;;;;;;;;;;;;;
2011;26;35;37;-;41;54;47;53;;;;;;;;;;;;;;;;;;
2012;24;34;39;39;44;44;36;57;;;;;;;;;;;;;;;;;;
2013;25;30;29;-;41;52;32;57;;;;;;;;;;;;;;;;;;
2014;22;22;-;11;18;50;21;31;;;;;;;;;;;;;;;;;;
2015;22;22;-;11;18;31;21;50;;;;;;;;;;;;;;;;;;
2016;18.4;27.3;26;30.6;52.8;30.7;42;29.7;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Ammonium;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;0.070;0.060;0.060;0.060;0.090;0.160;0.070;0.090;;;;;;;;;;;;;;;;;;
2008;0.070;0.840;0.080;0.360;0.090;0.250;0.230;0.100;;;;;;;;;;;;;;;;;;
2009;0.140;0.140;-;0.070;0.490;0.040;0.100;0.310;;;;;;;;;;;;;;;;;;
2010;0.150;0.100;0.080;0.170;0.660;0.190;0.100;0.110;;;;;;;;;;;;;;;;;;
2011;0.270;0.430;0.060;-;0.360;0.110;0.290;0.080;;;;;;;;;;;;;;;;;;
2012;0.240;0.240;0.000;0.100;0.070;0.230;0.060;0.210;;;;;;;;;;;;;;;;;;
2013;0.010;0.180;0.040;-;0.040;0.060;0.080;0.100;;;;;;;;;;;;;;;;;;
2014;0.200;0.000;0.030;0.050;0.100;0.080;0.230;0.080;;;;;;;;;;;;;;;;;;
2015;0.060;0.030;-;0.420;0.430;0.180;0.040;0.010;;;;;;;;;;;;;;;;;;
2016;0.011;0.015;0.011;0.015;0.033;0.250;0.038;0.043;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Phosphates;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;3.200;0.300;0.040;0.400;0.130;0.070;0.750;0.140;;;;;;;;;;;;;;;;;;
2008;0.060;0.120;0.090;0.090;0.080;0.090;0.030;0.060;;;;;;;;;;;;;;;;;;
2009;0.020;0.230;-;0.130;0.180;0.154;0.060;0.110;;;;;;;;;;;;;;;;;;
2010;0.110;0.190;0.160;0.110;0.300;0.110;0.001;0.600;;;;;;;;;;;;;;;;;;
2011;0.020;0.100;0.360;-;0.110;0.030;0.010;0.000;;;;;;;;;;;;;;;;;;
2012;0.070;0.120;0.050;0.110;0.100;0.020;0.000;0.050;;;;;;;;;;;;;;;;;;
2013;0.006;0.069;0.021;-;0.063;0.037;0.132;0.026;;;;;;;;;;;;;;;;;;
2014;0.035;0.067;-;0.116;0.178;0;0.023;0;;;;;;;;;;;;;;;;;;
2015;0.035;0.067;-;0.116;0.178;0.000;0.023;0.000;;;;;;;;;;;;;;;;;;
2016;0.030;0.204;0.000;0.058;0.019;0.041;0.035;0.025;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
TOC;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;
2008;29.80;5.50;1.70;1.80;1.90;1.70;1.60;1.80;;;;;;;;;;;;;;;;;;
2009;2.20;20.70;-;17.90;4.00;2.50;49.00;-;;;;;;;;;;;;;;;;;;
2010;4.03;5.09;6.03;4.33;7.54;5.36;4.10;7.55;;;;;;;;;;;;;;;;;;
2011;4.77;5.82;6.57;-;4.78;3.80;3.61;3.91;;;;;;;;;;;;;;;;;;
2012;27.21;4.66;4.23;4.14;4.06;3.36;4.34;3.70;;;;;;;;;;;;;;;;;;
2013;40.79;-;12.08;-;22.80;17.23;13.58;27.87;;;;;;;;;;;;;;;;;;
2014;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;
2015;#REF!;#REF!;-;#REF!;#REF!;#REF!;#REF!;#REF!;;;;;;;;;;;;;;;;;;
2016;28.53;30.52;32.67;30.03;17.98;26.89;28.31;19.22;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
DOC;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;
2008;1.50;4.50;1.80;1.80;2.10;1.80;1.60;1.90;;;;;;;;;;;;;;;;;;
2009;3.90;4.10;-;12.60;11.20;7.80;9.20;-;;;;;;;;;;;;;;;;;;
2010;3.55;2.86;5.37;2.73;5.94;3.45;2.42;4.69;;;;;;;;;;;;;;;;;;
2011;2.81;3.84;4.40;-;3.59;0.50;1.17;2.14;;;;;;;;;;;;;;;;;;
2012;3.94;4.56;3.99;4.07;3.85;3.19;4.25;3.53;;;;;;;;;;;;;;;;;;
2013;4.45;-;7.74;-;16.83;15.50;4.86;13.60;;;;;;;;;;;;;;;;;;
2014;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;
2015;#REF!;#REF!;-;#REF!;#REF!;#REF!;#REF!;#REF!;;;;;;;;;;;;;;;;;;
2016;28.33;29.73;32.59;29.90;15.75;26.21;27.50;17.24;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
